,Title,Corrected_Title
0,SHHA Annual Meeting announcements,SHHA Annual Meeting Announcements
1,Covenant Violation,Covenant Violation
2,Bernalilloo County Ordinance Regarding Animals,Bernalillo County Ordinance Regarding Animals
3,Light Pollution,Light Pollution
4,SHHA HOA Complaince,SHHA HOA Compliance
5,Trash and Recycle Bins,Trash and Recycle Bins
6,SHHA Annual Meeting announcements,SHHA Annual Meeting Announcements
7,Snow Removal,Snow Removal
8,PNM Wants 12% Rate Hike,PNM Wants 12% Rate Hike
9,Weed and Fire Season is Approaching!,Weed and Fire Season Is Approaching!
10,Septic Tank Quick Tips,Septic Tank Quick Tips
11,Empty Nest - Rooms for Rent,Empty Nest - Rooms for Rent
12,Trash and Recycle Bins,Trash and Recycle Bins
13,Annual Reports from SHHA Committees,Annual Reports from SHHA Committees
14,How to Make Love to a Cholla Cactus,How to Make Love to a Cholla Cactus
15,Know How Your Architectural Control Committee (CSC) Works,Know How Your Architectural Control Committee (CSC) Works
16,The GRIT,The GRIT
17,Covenant Support Committee,Covenant Support Committee
18,Finance Committee,Finance Committee
19,NM HOA Act & SHHA Service Feedback,NM HOA Act & SHHA Service Feedback
20,Birds of Special Interest and Concern are Found in Sandia Heights,Birds of Special Interest and Concern Are Found in Sandia Heights
21,Construction Courtesy & Safety in Sandia Heights,Construction Courtesy & Safety in Sandia Heights
22,The GRIT,The GRIT
23,Landscaping and Home Maintenance,Landscaping and Home Maintenance
24,"House Trailers, Trailers, and Recreational Vehicles","House Trailers, Trailers, and Recreational Vehicles"
25,Parks and Safety  ,Parks and Safety
26,Bear Season is Here,Bear Season Is Here
27,Bernalillo County Ordinance Regarding Animals,Bernalillo County Ordinance Regarding Animals
28,Parks and Safety Committee,Parks and Safety Committee
29,Trash and Recycle Bins,Trash and Recycle Bins
30,Bobcats,Bobcats
31,Street Right of Way Maintenance,Street Right-of-Way Maintenance
32,Zoning Variance Request made for a Domino's restaurant,Zoning Variance Request Made for a Domino's Restaurant
33,On-line GRIT Newsletter,On-line GRIT Newsletter
34,Parks & Safety Committee,Parks & Safety Committee
35,"What, You Don't Yet Have Solar Panels?","What, You Don't Yet Have Solar Panels?"
36,Trash and Recycle Bins,Trash and Recycle Bins
37,Gnats Bugging You?,Gnats Bugging You?
38,Surveys and Building Permints - a Refresher,Surveys and Building Permits - A Refresher
39,Proposed Art Work at W.L. Jackson Park,Proposed Art Work at W.L. Jackson Park
40,Property Owner Responsibilities in Bernalillo County Rights of Way Corner Properties,Property Owner Responsibilities in Bernalillo County Rights of Way Corner Properties
41,Covenant Support Committee,Covenant Support Committee
42,Bernalillo County Ordinance Regarding Animals,Bernalillo County Ordinance Regarding Animals
43,Albuquerque Police Department Crime Prevention Unit,Albuquerque Police Department Crime Prevention Unit
44,Parks & Safety Committee,Parks & Safety Committee
45,Dead Tree Cutting and Removal,Dead Tree Cutting and Removal
46,Weeds and Landscaping,Weeds and Landscaping
